Gene	FDR
hsa.mir.3677	1.45454092278514e-33
hsa.mir.3678	3.16277689025884e-18
hsa.mir.3679	0.00557740547580739
hsa.mir.3680	2.73286936687476e-22
hsa.mir.3681	0.000339814361155848
hsa.mir.3682	2.25588690951414e-33
hsa.mir.3683	0.709393423951979
hsa.mir.3684	0.00209702673724463
hsa.mir.3685	0.548120097355053
hsa.mir.3687	1.52170750771543e-16
hsa.mir.3688	0.0977939471030112
hsa.mir.3689a	0.795277961890988
hsa.mir.3689b	0.665220722591091
hsa.mir.369	1.06093320838245e-16
hsa.mir.3690	0.000370638465897245
hsa.mir.3691	2.29109589453476e-13
hsa.mir.3692	0.332981875857887
hsa.mir.370	4.06085095862133e-19
hsa.mir.371	0.0523790377476978
hsa.mir.372	0.0985891092877439
hsa.mir.373	0.116102021754538
hsa.mir.374a	1.00868963704835e-10
hsa.mir.374b	8.97605013929261e-12
hsa.mir.374c	8.84890503765806e-10
hsa.mir.375	4.05227289799327e-40
hsa.mir.376a.1	2.272913867249e-09
hsa.mir.376a.2	5.41694156900473e-05
hsa.mir.376b	1.53318430872781e-06
hsa.mir.376c	2.80600322042146e-08
hsa.mir.377	1.09661636530889e-12
hsa.mir.378	3.60398412650324e-44
hsa.mir.378b	0.160029911690816
hsa.mir.378c	9.17724694237908e-37
hsa.mir.379	2.3677151405266e-33
hsa.mir.380	6.14022903931054e-13
hsa.mir.381	4.11395786936861e-37
hsa.mir.382	2.90648136480474e-20
hsa.mir.383	1.15857330787978e-17
hsa.mir.3907	0.125776409636597
hsa.mir.3909	8.76229620834125e-10
hsa.mir.3910.2	0.120985252864632
hsa.mir.3911	1.92810618222263e-06
hsa.mir.3912	0.130652013642542
hsa.mir.3913.1	0.0168752074396069
hsa.mir.3913.2	0.443645628399933
hsa.mir.3914.1	0.066830494693072
hsa.mir.3914.2	0.556916015300576
hsa.mir.3915	0.583682294735571
hsa.mir.3916	0.500157036043656
hsa.mir.3917	8.62862620942342e-06
hsa.mir.3918	0.464469442456822
hsa.mir.3919	6.3740133816992e-05
hsa.mir.3920	0.628888502500098
hsa.mir.3921	0.657811754529147
hsa.mir.3922	4.23553372471851e-17
hsa.mir.3923	0.00740327110043228
hsa.mir.3925	0.000281467104760468
hsa.mir.3926.1	1.8987271089933e-16
hsa.mir.3926.2	1.75457959832475e-09
hsa.mir.3927	0.000339413665668186
hsa.mir.3928	7.49461494217293e-53
hsa.mir.3929	0.187545046542004
hsa.mir.3934	6.21656928057547e-22
hsa.mir.3935	0.0181855301679433
hsa.mir.3936	0.264095477774598
hsa.mir.3937	0.106392510494142
hsa.mir.3938	0.00110834656102448
hsa.mir.3939	0.000622145647787694
hsa.mir.3940	6.09308158645868e-34
hsa.mir.3941	1.40432095700069e-06
hsa.mir.3942	1.08127366699341e-05
hsa.mir.3943	0.976260507063629
hsa.mir.3944	3.48725613866632e-12
hsa.mir.3945	0.161411422035719
hsa.mir.409	1.93072673998859e-21
hsa.mir.410	1.27592820276935e-32
hsa.mir.411	3.67468830134388e-20
hsa.mir.412	3.39733520221383e-05
hsa.mir.421	2.04401887488646e-24
hsa.mir.422a	0.0139858711065616
hsa.mir.423	3.11304390926893e-42
hsa.mir.424	2.93417558897656e-23
hsa.mir.425	5.80141263618131e-17
hsa.mir.4254	2.05630309092725e-06
hsa.mir.4258	0.451090935232303
hsa.mir.4259	0.695101413008399
hsa.mir.4263	0.282226312135079
hsa.mir.4264	0.282226312135079
hsa.mir.4265	0.548120097355053
hsa.mir.4273	0.604762521381837
hsa.mir.4278	0.39470579723053
hsa.mir.4279	0.741026495161273
hsa.mir.4281	0.282226312135079
hsa.mir.4284	0.492490777882057
hsa.mir.4286	6.49472446529175e-06
hsa.mir.4289	0.611643127055592
hsa.mir.429	5.9370421432014e-15
hsa.mir.4292	0.611643127055592
hsa.mir.4295	0.604762521381837
hsa.mir.4296	0.695030176241242
hsa.mir.4306	0.0218233069950133
hsa.mir.431	7.86889927910881e-16
hsa.mir.4310	0.400371066231609
hsa.mir.4312	0.604762521381837
hsa.mir.4315.1	0.113457221420951
hsa.mir.4315.2	0.310937933523546
hsa.mir.432	2.35750018703585e-23
hsa.mir.4320	0.548120097355053
hsa.mir.4321	0.201246841370896
hsa.mir.4322	0.920325125338724
hsa.mir.4324	0.282226312135079
hsa.mir.4326	2.77097815462983e-13
hsa.mir.433	1.86068581812338e-07
hsa.mir.448	0.00382367112079628
hsa.mir.449a	4.81140388334937e-17
